generation,population ,production rate,slow codon speed,ratio,change in production rate
0,popB,1.237,1,0.01,0
1,popB,1.237,1,0.01,0
2,popB,1.237,1,0.01,0
3,popA,1.237,1,0.01,0
4,popA,1.237,1,0.01,0
5,popA,1.237,1,0.01,0
6,popB,1.263,1,0.01,0.026
7,popB,1.263,1,0.01,0
8,popA,1.263,1,0.01,0
9,popB,1.263,1,0.01,0
10,popB,1.263,1,0.01,0
11,popB,1.263,1,0.01,0
12,popB,1.263,1,0.01,0
13,popA,1.263,1,0.01,0
14,popA,1.263,1,0.01,0
15,popB,1.263,1,0.01,0
16,popB,1.343,1,0.01,0.08
17,popB,1.343,1,0.01,0
18,popA,1.343,1,0.01,0
19,popA,1.343,1,0.01,0
20,popB,1.343,1,0.01,0
21,popB,1.343,1,0.01,0
22,popB,1.343,1,0.01,0
23,popB,1.343,1,0.01,0
24,popB,1.343,1,0.01,0
25,popA,1.343,1,0.01,0
26,popB,1.343,1,0.01,0
27,popA,1.343,1,0.01,0
28,popB,1.343,1,0.01,0
29,popB,1.343,1,0.01,0
30,popA,1.343,1,0.01,0
31,popB,1.343,1,0.01,0
32,popB,1.356,1,0.01,0.013
33,popB,1.356,1,0.01,0
34,popB,1.446,1,0.01,0.09
35,popA,1.446,1,0.01,0
36,popB,1.446,1,0.01,0
37,popB,1.446,1,0.01,0
38,popA,1.446,1,0.01,0
39,popB,1.446,1,0.01,0
40,popB,1.446,1,0.01,0
41,popA,1.446,1,0.01,0
42,popB,1.446,1,0.01,0
43,popA,1.446,1,0.01,0
44,popB,1.446,1,0.01,0
45,popB,1.446,1,0.01,0
46,popA,1.446,1,0.01,0
47,popB,1.446,1,0.01,0
48,popB,1.446,1,0.01,0
49,popB,1.446,1,0.01,0
50,popB,1.446,1,0.01,0
0,popB,1.737,2,0.02,0
1,popB,1.737,2,0.02,0
2,popB,1.842,2,0.02,0.105
3,popB,1.899,2,0.02,0.057
4,popB,1.899,2,0.02,0
5,popA,1.899,2,0.02,0
6,popB,1.899,2,0.02,0
7,popB,1.899,2,0.02,0
8,popB,1.899,2,0.02,0
9,popB,1.899,2,0.02,0
10,popA,1.899,2,0.02,0
11,popB,1.955,2,0.02,0.056
12,popB,1.955,2,0.02,0
13,popA,1.955,2,0.02,0
14,popA,1.955,2,0.02,0
15,popB,1.955,2,0.02,0
16,popB,1.955,2,0.02,0
17,popB,1.955,2,0.02,0
18,popB,1.955,2,0.02,0
19,popA,1.955,2,0.02,0
20,popB,1.955,2,0.02,0
21,popA,1.955,2,0.02,0
22,popA,1.955,2,0.02,0
23,popA,1.955,2,0.02,0
24,popB,1.955,2,0.02,0
25,popA,1.955,2,0.02,0
26,popB,1.955,2,0.02,0
27,popA,1.955,2,0.02,0
28,popB,1.955,2,0.02,0
29,popB,1.955,2,0.02,0
30,popA,1.955,2,0.02,0
31,popB,1.955,2,0.02,0
32,popB,1.955,2,0.02,0
33,popB,1.955,2,0.02,0
34,popB,1.955,2,0.02,0
35,popA,1.955,2,0.02,0
36,popA,1.955,2,0.02,0
37,popB,1.955,2,0.02,0
38,popB,1.955,2,0.02,0
39,popB,1.955,2,0.02,0
40,popB,1.955,2,0.02,0
41,popA,1.955,2,0.02,0
42,popA,1.955,2,0.02,0
43,popA,1.955,2,0.02,0
44,popA,1.955,2,0.02,0
45,popB,1.955,2,0.02,0
46,popB,1.955,2,0.02,0
47,popA,1.955,2,0.02,0
48,popB,1.955,2,0.02,0
49,popA,1.955,2,0.02,0
50,popA,1.955,2,0.02,0
0,popA,1.791,3,0.03,0
1,popB,1.891,3,0.03,0.1
2,popB,1.917,3,0.03,0.026
3,popB,1.917,3,0.03,0
4,popA,1.917,3,0.03,0
5,popA,1.917,3,0.03,0
6,popB,1.941,3,0.03,0.024
7,popA,1.941,3,0.03,0
8,popA,1.941,3,0.03,0
9,popB,1.941,3,0.03,0
10,popB,1.941,3,0.03,0
11,popA,1.941,3,0.03,0
12,popB,1.941,3,0.03,0
13,popB,1.941,3,0.03,0
14,popA,1.941,3,0.03,0
15,popA,1.941,3,0.03,0
16,popA,1.941,3,0.03,0
17,popB,1.941,3,0.03,0
18,popA,1.941,3,0.03,0
19,popA,1.941,3,0.03,0
20,popB,2.106,3,0.03,0.165
21,popB,2.106,3,0.03,0
22,popB,2.106,3,0.03,0
23,popA,2.106,3,0.03,0
24,popA,2.106,3,0.03,0
25,popA,2.106,3,0.03,0
26,popB,2.106,3,0.03,0
27,popA,2.106,3,0.03,0
28,popA,2.106,3,0.03,0
29,popA,2.106,3,0.03,0
30,popA,2.106,3,0.03,0
31,popA,2.106,3,0.03,0
32,popB,2.106,3,0.03,0
33,popA,2.106,3,0.03,0
34,popA,2.106,3,0.03,0
35,popA,2.106,3,0.03,0
36,popB,2.106,3,0.03,0
37,popA,2.106,3,0.03,0
38,popB,2.106,3,0.03,0
39,popA,2.106,3,0.03,0
40,popA,2.106,3,0.03,0
41,popB,2.106,3,0.03,0
42,popA,2.106,3,0.03,0
43,popB,2.106,3,0.03,0
44,popB,2.106,3,0.03,0
45,popB,2.106,3,0.03,0
46,popA,2.106,3,0.03,0
47,popB,2.106,3,0.03,0
48,popB,2.106,3,0.03,0
49,popA,2.106,3,0.03,0
50,popA,2.106,3,0.03,0
0,popB,1.943,4,0.04,0
1,popB,1.943,4,0.04,0
2,popB,1.943,4,0.04,0
3,popA,1.943,4,0.04,0
4,popB,1.943,4,0.04,0
5,popB,1.943,4,0.04,0
6,popB,1.943,4,0.04,0
7,popB,1.943,4,0.04,0
8,popA,1.943,4,0.04,0
9,popB,1.943,4,0.04,0
10,popB,1.943,4,0.04,0
11,popB,1.943,4,0.04,0
12,popB,1.943,4,0.04,0
13,popA,1.943,4,0.04,0
14,popB,2.074,4,0.04,0.131
15,popB,2.074,4,0.04,0
16,popB,2.074,4,0.04,0
17,popA,2.074,4,0.04,0
18,popB,2.074,4,0.04,0
19,popB,2.284,4,0.04,0.21
20,popB,2.284,4,0.04,0
21,popA,2.284,4,0.04,0
22,popA,2.284,4,0.04,0
23,popB,2.284,4,0.04,0
24,popA,2.284,4,0.04,0
25,popB,2.284,4,0.04,0
26,popA,2.284,4,0.04,0
27,popA,2.284,4,0.04,0
28,popA,2.284,4,0.04,0
29,popA,2.284,4,0.04,0
30,popB,2.284,4,0.04,0
31,popA,2.284,4,0.04,0
32,popA,2.284,4,0.04,0
33,popB,2.284,4,0.04,0
34,popA,2.284,4,0.04,0
35,popB,2.284,4,0.04,0
36,popA,2.284,4,0.04,0
37,popB,2.284,4,0.04,0
38,popA,2.284,4,0.04,0
39,popB,2.284,4,0.04,0
40,popA,2.284,4,0.04,0
41,popA,2.284,4,0.04,0
42,popB,2.284,4,0.04,0
43,popA,2.284,4,0.04,0
44,popB,2.284,4,0.04,0
45,popA,2.284,4,0.04,0
46,popA,2.284,4,0.04,0
47,popB,2.284,4,0.04,0
48,popA,2.284,4,0.04,0
49,popA,2.284,4,0.04,0
50,popA,2.284,4,0.04,0
0,popB,2.036,5,0.05,0
1,popB,2.036,5,0.05,0
2,popB,2.036,5,0.05,0
3,popA,2.036,5,0.05,0
4,popA,2.036,5,0.05,0
5,popA,2.036,5,0.05,0
6,popA,2.036,5,0.05,0
7,popA,2.036,5,0.05,0
8,popB,2.036,5,0.05,0
9,popA,2.036,5,0.05,0
10,popB,2.036,5,0.05,0
11,popA,2.036,5,0.05,0
12,popB,2.036,5,0.05,0
13,popB,2.036,5,0.05,0
14,popB,2.036,5,0.05,0
15,popB,2.036,5,0.05,0
16,popB,2.036,5,0.05,0
17,popB,2.036,5,0.05,0
18,popB,2.036,5,0.05,0
19,popB,2.036,5,0.05,0
20,popA,2.036,5,0.05,0
21,popB,2.036,5,0.05,0
22,popA,2.036,5,0.05,0
23,popA,2.036,5,0.05,0
24,popA,2.036,5,0.05,0
25,popB,2.036,5,0.05,0
26,popA,2.036,5,0.05,0
27,popA,2.036,5,0.05,0
28,popB,2.036,5,0.05,0
29,popA,2.036,5,0.05,0
30,popA,2.036,5,0.05,0
31,popA,2.036,5,0.05,0
32,popA,2.036,5,0.05,0
33,popB,2.036,5,0.05,0
34,popA,2.036,5,0.05,0
35,popA,2.036,5,0.05,0
36,popB,2.036,5,0.05,0
37,popA,2.036,5,0.05,0
38,popB,2.036,5,0.05,0
39,popB,2.036,5,0.05,0
40,popA,2.036,5,0.05,0
41,popB,2.036,5,0.05,0
42,popA,2.036,5,0.05,0
43,popB,2.096,5,0.05,0.06
44,popA,2.096,5,0.05,0
45,popB,2.096,5,0.05,0
46,popB,2.096,5,0.05,0
47,popA,2.096,5,0.05,0
48,popA,2.096,5,0.05,0
49,popB,2.096,5,0.05,0
50,popA,2.096,5,0.05,0
0,popB,1.685,6,0.06,0
1,popB,1.731,6,0.06,0.046
2,popB,1.731,6,0.06,0
3,popB,1.731,6,0.06,0
4,popB,1.731,6,0.06,0
5,popB,1.731,6,0.06,0
6,popB,1.731,6,0.06,0
7,popB,1.731,6,0.06,0
8,popB,1.731,6,0.06,0
9,popB,1.793,6,0.06,0.062
10,popB,1.793,6,0.06,0
11,popB,1.793,6,0.06,0
12,popA,1.793,6,0.06,0
13,popB,1.837,6,0.06,0.044
14,popB,1.837,6,0.06,0
15,popB,1.837,6,0.06,0
16,popB,1.837,6,0.06,0
17,popA,1.837,6,0.06,0
18,popB,1.837,6,0.06,0
19,popB,1.837,6,0.06,0
20,popB,1.837,6,0.06,0
21,popA,1.837,6,0.06,0
22,popB,1.837,6,0.06,0
23,popB,1.837,6,0.06,0
24,popB,1.841,6,0.06,0.004
25,popA,1.841,6,0.06,0
26,popB,1.944,6,0.06,0.103
27,popB,1.944,6,0.06,0
28,popB,1.944,6,0.06,0
29,popA,1.944,6,0.06,0
30,popB,1.944,6,0.06,0
31,popA,1.944,6,0.06,0
32,popB,1.944,6,0.06,0
33,popB,1.944,6,0.06,0
34,popB,2.034,6,0.06,0.09
35,popA,2.034,6,0.06,0
36,popB,2.034,6,0.06,0
37,popA,2.034,6,0.06,0
38,popB,2.034,6,0.06,0
39,popB,2.034,6,0.06,0
40,popB,2.034,6,0.06,0
41,popB,2.034,6,0.06,0
42,popA,2.034,6,0.06,0
43,popB,2.034,6,0.06,0
44,popB,2.034,6,0.06,0
45,popA,2.034,6,0.06,0
46,popB,2.134,6,0.06,0.1
47,popB,2.174,6,0.06,0.04
48,popA,2.174,6,0.06,0
49,popB,2.174,6,0.06,0
50,popA,2.174,6,0.06,0
0,popB,1.735,7,0.07,0
1,popB,1.764,7,0.07,0.029
2,popB,1.764,7,0.07,0
3,popA,1.764,7,0.07,0
4,popB,1.829,7,0.07,0.065
5,popA,1.829,7,0.07,0
6,popB,1.904,7,0.07,0.075
7,popB,1.904,7,0.07,0
8,popB,1.904,7,0.07,0
9,popA,1.904,7,0.07,0
10,popB,1.904,7,0.07,0
11,popB,1.904,7,0.07,0
12,popB,1.904,7,0.07,0
13,popA,1.904,7,0.07,0
14,popB,1.904,7,0.07,0
15,popB,1.904,7,0.07,0
16,popB,1.904,7,0.07,0
17,popA,1.904,7,0.07,0
18,popB,1.904,7,0.07,0
19,popB,2.006,7,0.07,0.102
20,popB,2.006,7,0.07,0
21,popA,2.006,7,0.07,0
22,popB,2.006,7,0.07,0
23,popB,2.006,7,0.07,0
24,popA,2.006,7,0.07,0
25,popA,2.006,7,0.07,0
26,popA,2.006,7,0.07,0
27,popB,2.006,7,0.07,0
28,popA,2.006,7,0.07,0
29,popB,2.006,7,0.07,0
30,popB,2.068,7,0.07,0.062
31,popA,2.068,7,0.07,0
32,popB,2.068,7,0.07,0
33,popA,2.068,7,0.07,0
34,popA,2.068,7,0.07,0
35,popB,2.068,7,0.07,0
36,popB,2.068,7,0.07,0
37,popB,2.068,7,0.07,0
38,popB,2.068,7,0.07,0
39,popA,2.068,7,0.07,0
40,popB,2.068,7,0.07,0
41,popB,2.068,7,0.07,0
42,popB,2.068,7,0.07,0
43,popB,2.068,7,0.07,0
44,popB,2.068,7,0.07,0
45,popB,2.068,7,0.07,0
46,popB,2.068,7,0.07,0
47,popB,2.068,7,0.07,0
48,popB,2.068,7,0.07,0
49,popA,2.068,7,0.07,0
50,popB,2.138,7,0.07,0.07
0,popB,1.859,8,0.08,0
1,popB,1.859,8,0.08,0
2,popB,1.859,8,0.08,0
3,popB,2.102,8,0.08,0.243
4,popA,2.102,8,0.08,0
5,popB,2.102,8,0.08,0
6,popB,2.102,8,0.08,0
7,popB,2.102,8,0.08,0
8,popA,2.102,8,0.08,0
9,popB,2.218,8,0.08,0.116
10,popB,2.218,8,0.08,0
11,popA,2.218,8,0.08,0
12,popA,2.218,8,0.08,0
13,popB,2.218,8,0.08,0
14,popB,2.218,8,0.08,0
15,popA,2.218,8,0.08,0
16,popA,2.218,8,0.08,0
17,popA,2.218,8,0.08,0
18,popA,2.218,8,0.08,0
19,popB,2.218,8,0.08,0
20,popB,2.218,8,0.08,0
21,popA,2.218,8,0.08,0
22,popA,2.218,8,0.08,0
23,popA,2.218,8,0.08,0
24,popA,2.218,8,0.08,0
25,popA,2.218,8,0.08,0
26,popB,2.218,8,0.08,0
27,popA,2.218,8,0.08,0
28,popB,2.218,8,0.08,0
29,popB,2.218,8,0.08,0
30,popA,2.218,8,0.08,0
31,popA,2.218,8,0.08,0
32,popA,2.218,8,0.08,0
33,popB,2.218,8,0.08,0
34,popB,2.218,8,0.08,0
35,popB,2.218,8,0.08,0
36,popB,2.218,8,0.08,0
37,popA,2.218,8,0.08,0
38,popA,2.218,8,0.08,0
39,popB,2.218,8,0.08,0
40,popA,2.218,8,0.08,0
41,popA,2.218,8,0.08,0
42,popA,2.218,8,0.08,0
43,popA,2.218,8,0.08,0
44,popB,2.218,8,0.08,0
45,popB,2.218,8,0.08,0
46,popA,2.218,8,0.08,0
47,popA,2.218,8,0.08,0
48,popA,2.218,8,0.08,0
49,popA,2.218,8,0.08,0
50,popA,2.218,8,0.08,0
0,popB,1.818,9,0.09,0
1,popB,1.847,9,0.09,0.029
2,popB,1.847,9,0.09,0
3,popB,2.102,9,0.09,0.255
4,popB,2.111,9,0.09,0.009
5,popB,2.111,9,0.09,0
6,popB,2.111,9,0.09,0
7,popB,2.111,9,0.09,0
8,popB,2.25,9,0.09,0.139
9,popA,2.25,9,0.09,0
10,popB,2.25,9,0.09,0
11,popA,2.25,9,0.09,0
12,popB,2.25,9,0.09,0
13,popB,2.25,9,0.09,0
14,popB,2.25,9,0.09,0
15,popB,2.25,9,0.09,0
16,popB,2.25,9,0.09,0
17,popB,2.25,9,0.09,0
18,popB,2.25,9,0.09,0
19,popB,2.25,9,0.09,0
20,popA,2.25,9,0.09,0
21,popB,2.25,9,0.09,0
22,popB,2.25,9,0.09,0
23,popB,2.273,9,0.09,0.023
24,popA,2.273,9,0.09,0
25,popB,2.273,9,0.09,0
26,popA,2.273,9,0.09,0
27,popA,2.273,9,0.09,0
28,popB,2.273,9,0.09,0
29,popB,2.324,9,0.09,0.051
30,popA,2.324,9,0.09,0
31,popB,2.324,9,0.09,0
32,popB,2.324,9,0.09,0
33,popB,2.324,9,0.09,0
34,popB,2.324,9,0.09,0
35,popA,2.324,9,0.09,0
36,popA,2.324,9,0.09,0
37,popB,2.324,9,0.09,0
38,popA,2.324,9,0.09,0
39,popB,2.324,9,0.09,0
40,popA,2.324,9,0.09,0
41,popB,2.324,9,0.09,0
42,popA,2.324,9,0.09,0
43,popA,2.324,9,0.09,0
44,popA,2.324,9,0.09,0
45,popB,2.324,9,0.09,0
46,popB,2.324,9,0.09,0
47,popB,2.324,9,0.09,0
48,popB,2.324,9,0.09,0
49,popB,2.324,9,0.09,0
50,popB,2.324,9,0.09,0
0,popB,2.03,10,0.1,0
1,popA,2.03,10,0.1,0
2,popB,2.03,10,0.1,0
3,popA,2.03,10,0.1,0
4,popB,2.03,10,0.1,0
5,popB,2.05,10,0.1,0.02
6,popB,2.05,10,0.1,0
7,popA,2.05,10,0.1,0
8,popB,2.05,10,0.1,0
9,popA,2.05,10,0.1,0
10,popA,2.05,10,0.1,0
11,popB,2.05,10,0.1,0
12,popA,2.05,10,0.1,0
13,popA,2.05,10,0.1,0
14,popB,2.05,10,0.1,0
15,popA,2.05,10,0.1,0
16,popB,2.05,10,0.1,0
17,popB,2.05,10,0.1,0
18,popA,2.05,10,0.1,0
19,popA,2.05,10,0.1,0
20,popB,2.05,10,0.1,0
21,popB,2.05,10,0.1,0
22,popA,2.05,10,0.1,0
23,popB,2.05,10,0.1,0
24,popB,2.05,10,0.1,0
25,popB,2.05,10,0.1,0
26,popB,2.05,10,0.1,0
27,popA,2.05,10,0.1,0
28,popA,2.05,10,0.1,0
29,popB,2.05,10,0.1,0
30,popB,2.05,10,0.1,0
31,popA,2.05,10,0.1,0
32,popB,2.05,10,0.1,0
33,popB,2.05,10,0.1,0
34,popA,2.05,10,0.1,0
35,popB,2.05,10,0.1,0
36,popA,2.05,10,0.1,0
37,popA,2.05,10,0.1,0
38,popB,2.05,10,0.1,0
39,popB,2.05,10,0.1,0
40,popB,2.05,10,0.1,0
41,popA,2.05,10,0.1,0
42,popA,2.05,10,0.1,0
43,popA,2.05,10,0.1,0
44,popB,2.05,10,0.1,0
45,popA,2.05,10,0.1,0
46,popA,2.05,10,0.1,0
47,popB,2.05,10,0.1,0
48,popB,2.05,10,0.1,0
49,popB,2.05,10,0.1,0
50,popB,2.05,10,0.1,0
0,popB,1.971,11,0.11,0
1,popA,1.971,11,0.11,0
2,popA,1.971,11,0.11,0
3,popA,1.971,11,0.11,0
4,popB,1.971,11,0.11,0
5,popB,1.971,11,0.11,0
6,popB,1.971,11,0.11,0
7,popB,1.971,11,0.11,0
8,popA,1.971,11,0.11,0
9,popA,1.971,11,0.11,0
10,popB,2.162,11,0.11,0.191
11,popB,2.162,11,0.11,0
12,popA,2.162,11,0.11,0
13,popB,2.162,11,0.11,0
14,popB,2.162,11,0.11,0
15,popA,2.162,11,0.11,0
16,popB,2.162,11,0.11,0
17,popB,2.162,11,0.11,0
18,popB,2.162,11,0.11,0
19,popB,2.162,11,0.11,0
20,popA,2.162,11,0.11,0
21,popA,2.162,11,0.11,0
22,popB,2.162,11,0.11,0
23,popB,2.173,11,0.11,0.011
24,popA,2.173,11,0.11,0
25,popA,2.173,11,0.11,0
26,popB,2.173,11,0.11,0
27,popA,2.173,11,0.11,0
28,popA,2.173,11,0.11,0
29,popB,2.173,11,0.11,0
30,popA,2.173,11,0.11,0
31,popB,2.173,11,0.11,0
32,popB,2.173,11,0.11,0
33,popA,2.173,11,0.11,0
34,popB,2.173,11,0.11,0
35,popA,2.173,11,0.11,0
36,popA,2.173,11,0.11,0
37,popA,2.173,11,0.11,0
38,popA,2.173,11,0.11,0
39,popB,2.173,11,0.11,0
40,popB,2.173,11,0.11,0
41,popA,2.173,11,0.11,0
42,popA,2.173,11,0.11,0
43,popB,2.173,11,0.11,0
44,popA,2.173,11,0.11,0
45,popA,2.173,11,0.11,0
46,popA,2.173,11,0.11,0
47,popB,2.173,11,0.11,0
48,popB,2.173,11,0.11,0
49,popB,2.173,11,0.11,0
50,popA,2.173,11,0.11,0
0,popA,1.949,12,0.12,0
1,popA,1.949,12,0.12,0
2,popB,1.949,12,0.12,0
3,popB,1.949,12,0.12,0
4,popB,2.286,12,0.12,0.337
5,popB,2.286,12,0.12,0
6,popB,2.286,12,0.12,0
7,popA,2.286,12,0.12,0
8,popB,2.286,12,0.12,0
9,popA,2.286,12,0.12,0
10,popB,2.286,12,0.12,0
11,popB,2.286,12,0.12,0
12,popB,2.286,12,0.12,0
13,popA,2.286,12,0.12,0
14,popA,2.286,12,0.12,0
15,popB,2.286,12,0.12,0
16,popB,2.286,12,0.12,0
17,popB,2.286,12,0.12,0
18,popA,2.286,12,0.12,0
19,popB,2.286,12,0.12,0
20,popA,2.286,12,0.12,0
21,popA,2.286,12,0.12,0
22,popB,2.286,12,0.12,0
23,popA,2.286,12,0.12,0
24,popB,2.286,12,0.12,0
25,popA,2.286,12,0.12,0
26,popA,2.286,12,0.12,0
27,popB,2.286,12,0.12,0
28,popA,2.286,12,0.12,0
29,popA,2.286,12,0.12,0
30,popB,2.286,12,0.12,0
31,popB,2.286,12,0.12,0
32,popB,2.286,12,0.12,0
33,popA,2.286,12,0.12,0
34,popB,2.286,12,0.12,0
35,popB,2.286,12,0.12,0
36,popB,2.286,12,0.12,0
37,popB,2.286,12,0.12,0
38,popA,2.286,12,0.12,0
39,popB,2.286,12,0.12,0
40,popB,2.286,12,0.12,0
41,popB,2.286,12,0.12,0
42,popB,2.286,12,0.12,0
43,popA,2.286,12,0.12,0
44,popA,2.286,12,0.12,0
45,popB,2.286,12,0.12,0
46,popB,2.286,12,0.12,0
47,popB,2.286,12,0.12,0
48,popB,2.286,12,0.12,0
49,popB,2.286,12,0.12,0
50,popB,2.286,12,0.12,0
0,popB,2.006,13,0.13,0
1,popA,2.006,13,0.13,0
2,popB,2.008,13,0.13,0.002
3,popB,2.111,13,0.13,0.103
4,popB,2.111,13,0.13,0
5,popA,2.111,13,0.13,0
6,popA,2.111,13,0.13,0
7,popB,2.111,13,0.13,0
8,popA,2.111,13,0.13,0
9,popA,2.111,13,0.13,0
10,popB,2.111,13,0.13,0
11,popB,2.111,13,0.13,0
12,popB,2.111,13,0.13,0
13,popB,2.111,13,0.13,0
14,popA,2.111,13,0.13,0
15,popB,2.111,13,0.13,0
16,popA,2.111,13,0.13,0
17,popB,2.111,13,0.13,0
18,popA,2.111,13,0.13,0
19,popB,2.111,13,0.13,0
20,popB,2.111,13,0.13,0
21,popB,2.111,13,0.13,0
22,popB,2.111,13,0.13,0
23,popA,2.111,13,0.13,0
24,popB,2.111,13,0.13,0
25,popA,2.111,13,0.13,0
26,popA,2.111,13,0.13,0
27,popB,2.111,13,0.13,0
28,popB,2.111,13,0.13,0
29,popB,2.111,13,0.13,0
30,popB,2.111,13,0.13,0
31,popA,2.111,13,0.13,0
32,popA,2.111,13,0.13,0
33,popB,2.111,13,0.13,0
34,popA,2.111,13,0.13,0
35,popB,2.111,13,0.13,0
36,popB,2.111,13,0.13,0
37,popA,2.111,13,0.13,0
38,popA,2.111,13,0.13,0
39,popB,2.111,13,0.13,0
40,popA,2.111,13,0.13,0
41,popB,2.111,13,0.13,0
42,popB,2.231,13,0.13,0.12
43,popA,2.231,13,0.13,0
44,popB,2.231,13,0.13,0
45,popA,2.231,13,0.13,0
46,popB,2.231,13,0.13,0
47,popB,2.231,13,0.13,0
48,popA,2.231,13,0.13,0
49,popA,2.231,13,0.13,0
50,popB,2.231,13,0.13,0
0,popB,2.131,14,0.14,0
1,popB,2.131,14,0.14,0
2,popB,2.131,14,0.14,0
3,popB,2.131,14,0.14,0
4,popB,2.131,14,0.14,0
5,popA,2.131,14,0.14,0
6,popB,2.169,14,0.14,0.038
7,popA,2.169,14,0.14,0
8,popA,2.169,14,0.14,0
9,popB,2.169,14,0.14,0
10,popA,2.169,14,0.14,0
11,popB,2.169,14,0.14,0
12,popB,2.211,14,0.14,0.042
13,popB,2.249,14,0.14,0.038
14,popA,2.249,14,0.14,0
15,popA,2.249,14,0.14,0
16,popB,2.249,14,0.14,0
17,popB,2.249,14,0.14,0
18,popA,2.249,14,0.14,0
19,popA,2.249,14,0.14,0
20,popB,2.249,14,0.14,0
21,popB,2.249,14,0.14,0
22,popB,2.249,14,0.14,0
23,popA,2.249,14,0.14,0
24,popB,2.249,14,0.14,0
25,popA,2.249,14,0.14,0
26,popA,2.249,14,0.14,0
27,popB,2.249,14,0.14,0
28,popB,2.249,14,0.14,0
29,popA,2.249,14,0.14,0
30,popB,2.249,14,0.14,0
31,popA,2.249,14,0.14,0
32,popA,2.249,14,0.14,0
33,popA,2.249,14,0.14,0
34,popA,2.249,14,0.14,0
35,popB,2.249,14,0.14,0
36,popA,2.249,14,0.14,0
37,popB,2.249,14,0.14,0
38,popB,2.249,14,0.14,0
39,popB,2.249,14,0.14,0
40,popA,2.249,14,0.14,0
41,popA,2.249,14,0.14,0
42,popA,2.249,14,0.14,0
43,popB,2.249,14,0.14,0
44,popA,2.249,14,0.14,0
45,popB,2.249,14,0.14,0
46,popA,2.249,14,0.14,0
47,popA,2.249,14,0.14,0
48,popA,2.249,14,0.14,0
49,popA,2.249,14,0.14,0
50,popA,2.249,14,0.14,0
0,popB,2.125,15,0.15,0
1,popA,2.125,15,0.15,0
2,popA,2.125,15,0.15,0
3,popA,2.125,15,0.15,0
4,popB,2.125,15,0.15,0
5,popA,2.125,15,0.15,0
6,popB,2.125,15,0.15,0
7,popB,2.125,15,0.15,0
8,popB,2.125,15,0.15,0
9,popB,2.125,15,0.15,0
10,popB,2.125,15,0.15,0
11,popB,2.125,15,0.15,0
12,popB,2.125,15,0.15,0
13,popB,2.135,15,0.15,0.01
14,popB,2.261,15,0.15,0.126
15,popB,2.261,15,0.15,0
16,popB,2.261,15,0.15,0
17,popB,2.261,15,0.15,0
18,popA,2.261,15,0.15,0
19,popA,2.261,15,0.15,0
20,popB,2.261,15,0.15,0
21,popA,2.261,15,0.15,0
22,popA,2.261,15,0.15,0
23,popA,2.261,15,0.15,0
24,popB,2.261,15,0.15,0
25,popA,2.261,15,0.15,0
26,popA,2.261,15,0.15,0
27,popB,2.261,15,0.15,0
28,popB,2.261,15,0.15,0
29,popA,2.261,15,0.15,0
30,popA,2.261,15,0.15,0
31,popA,2.261,15,0.15,0
32,popB,2.261,15,0.15,0
33,popA,2.261,15,0.15,0
34,popA,2.261,15,0.15,0
35,popA,2.261,15,0.15,0
36,popB,2.261,15,0.15,0
37,popA,2.261,15,0.15,0
38,popA,2.261,15,0.15,0
39,popA,2.261,15,0.15,0
40,popB,2.261,15,0.15,0
41,popB,2.261,15,0.15,0
42,popA,2.261,15,0.15,0
43,popB,2.261,15,0.15,0
44,popA,2.261,15,0.15,0
45,popB,2.261,15,0.15,0
46,popA,2.261,15,0.15,0
47,popA,2.261,15,0.15,0
48,popB,2.261,15,0.15,0
49,popA,2.261,15,0.15,0
50,popA,2.261,15,0.15,0
0,popB,2.107,16,0.16,0
1,popA,2.107,16,0.16,0
2,popB,2.107,16,0.16,0
3,popB,2.107,16,0.16,0
4,popA,2.107,16,0.16,0
5,popB,2.107,16,0.16,0
6,popB,2.107,16,0.16,0
7,popB,2.107,16,0.16,0
8,popB,2.107,16,0.16,0
9,popA,2.107,16,0.16,0
10,popB,2.107,16,0.16,0
11,popA,2.107,16,0.16,0
12,popA,2.107,16,0.16,0
13,popB,2.107,16,0.16,0
14,popA,2.107,16,0.16,0
15,popB,2.107,16,0.16,0
16,popB,2.107,16,0.16,0
17,popB,2.107,16,0.16,0
18,popA,2.107,16,0.16,0
19,popB,2.459,16,0.16,0.352
20,popB,2.459,16,0.16,0
21,popB,2.459,16,0.16,0
22,popB,2.459,16,0.16,0
23,popB,2.459,16,0.16,0
24,popA,2.459,16,0.16,0
25,popA,2.459,16,0.16,0
26,popB,2.459,16,0.16,0
27,popA,2.459,16,0.16,0
28,popA,2.459,16,0.16,0
29,popA,2.459,16,0.16,0
30,popA,2.459,16,0.16,0
31,popA,2.459,16,0.16,0
32,popB,2.459,16,0.16,0
33,popA,2.459,16,0.16,0
34,popB,2.459,16,0.16,0
35,popA,2.459,16,0.16,0
36,popB,2.459,16,0.16,0
37,popB,2.459,16,0.16,0
38,popA,2.459,16,0.16,0
39,popA,2.459,16,0.16,0
40,popB,2.459,16,0.16,0
41,popA,2.459,16,0.16,0
42,popB,2.459,16,0.16,0
43,popB,2.459,16,0.16,0
44,popA,2.459,16,0.16,0
45,popB,2.459,16,0.16,0
46,popA,2.459,16,0.16,0
47,popB,2.459,16,0.16,0
48,popB,2.459,16,0.16,0
49,popB,2.459,16,0.16,0
50,popB,2.459,16,0.16,0
